pID	day	time 	subtask
P27	3	74.29	7
P27	4	95.77	7
P32	1	128.30	7
P32	2	81.21	7
P32	3	86.52	7
P32	4	90.13	7
P34	1	112.92	7
P34	2	82.55	7
P34	3	69.80	7
P34	4	71.63	7
P40	1	263.09	7
P40	2	100.21	7
P40	3	92.88	7
P40	4	88.48	7
P48	1	126.29	7
P48	2	107.95	7
P48	3	67.91	7
P48	4	49.57	7
P54	1	185.49	7
P54	2	212.24	7
P54	3	94.43	7
P54	4	122.26	7
P66	1	140.86	7
P66	2	116.84	7
P66	3	98.15	7
P66	4	85.33	7
P72	1	106.53	7
P72	2	91.26	7
P72	3	72.94	7
P72	4	69.96	7
P75	1	164.47	7
P75	2	137.51	7
P75	3	92.33	7
P75	4	89.51	7
P12	1	127.39	7
P12	2	103.35	7
P12	3	91.48	7
P12	4	135.50	7
P14	1	176.71	7
P14	2	130.51	7
P14	3	116.48	7
P14	4	98.20	7
P19	1	216.47	7
P19	2	185.95	7
P19	3	126.29	7
P19	4	146.28	7
P20	1	194.37	7
P20	2	136.14	7
P20	3	106.24	7
P20	4	116.75	7
P23	1	185.93	7
P23	2	85.93	7
P23	3	85.93	7
P23	4	78.12	7
P46	1	94.76	7
P46	2	69.60	7
P46	3	62.95	7
P46	4	119.41	7
P51	1	119.87	7
P51	2	62.40	7
P51	3	55.15	7
P51	4	49.53	7
P59	1	122.61	7
P59	2	89.08	7
P59	3	76.29	7
P59	4	102.80	7
P68	1	133.68	7
P68	2	113.13	7
P68	3	82.48	7
P68	4	75.41	7
P73	1	573.35	7
P73	2	127.77	7
P73	3	127.49	7
P73	4	203.11	7
P9	1	85.00	8
P9	2	16.32	8
P9	3	16.26	8
P9	4	9.18	8
P15	1	NA	8
P15	2	16.46	8
P15	3	17.22	8
P15	4	10.94	8
P16	1	26.45	8
P16	2	19.79	8
P16	3	16.52	8
P16	4	10.41	8
P26	1	88.53	8
P26	2	20.17	8
P26	3	19.50	8
P26	4	21.98	8
P31	1	36.83	8
P31	2	21.51	8
P31	3	16.38	8
P31	4	38.16	8
P42	1	26.45	8
P42	2	18.77	8
P42	3	20.88	8
P42	4	18.97	8
P44	1	75.65	8
P44	2	16.42	8
P44	3	11.22	8
P44	4	9.99	8
P49	1	36.79	8
P49	2	NA	8
P49	3	NA	8
P49	4	55.43	8
P57	1	30.02	8
P57	2	16.10	8
P57	3	14.75	8
P57	4	NA	8
P63	1	29.07	8
P63	2	22.27	8
P63	3	12.05	8
P63	4	13.58	8
P11	1	73.57	8
P11	2	55.44	8
P11	3	33.83	8
P11	4	31.34	8
P27	1	26.45	8
P27	2	17.58	8
P27	3	15.33	8
P27	4	23.95	8
P32	1	54.51	8
P32	2	NA	8
P32	3	12.34	8
P32	4	28.63	8
P34	1	31.98	8
P34	2	22.03	8
P34	3	24.50	8
P34	4	15.62	8
P40	1	43.71	8
P40	2	16.21	8
P40	3	13.45	8
P40	4	19.88	8
P48	1	18.20	8
P48	2	18.61	8
P48	3	11.60	8
P48	4	9.78	8
P54	1	31.10	8
P54	2	31.42	8
P54	3	28.78	8
P54	4	24.17	8
P66	1	34.29	8
P66	2	21.88	8
P66	3	18.71	8
P66	4	11.67	8
P72	1	54.25	8
P72	2	28.56	8
P72	3	14.89	8
P72	4	39.25	8
P75	1	31.20	8
P75	2	15.89	8
P75	3	32.56	8
P75	4	11.18	8
P12	1	NA	8
P12	2	12.29	8
P12	3	9.73	8
P12	4	12.96	8
P14	1	43.01	8
P14	2	70.78	8
P14	3	30.99	8
P14	4	22.05	8
P19	1	41.32	8
P19	2	22.07	8
P19	3	36.57	8
P19	4	18.73	8
P20	1	72.79	8
P20	2	48.53	8
P20	3	23.48	8
P20	4	21.50	8
P23	1	40.22	8
P23	2	31.61	8
P23	3	31.61	8
P23	4	12.39	8
P46	1	23.40	8
P46	2	11.11	8
P46	3	10.62	8
P46	4	10.01	8
P51	1	NA	8
P51	2	NA	8
P51	3	35.75	8
P51	4	13.82	8
P59	1	35.25	8
P59	2	32.25	8
P59	3	29.35	8
P59	4	13.36	8
P68	1	29.89	8
P68	2	14.83	8
P68	3	13.20	8
P68	4	13.39	8
P73	1	52.01	8
P73	2	16.40	8
P73	3	16.98	8
P73	4	11.95	8
P9	1	290.26	9
P9	2	132.99	9
P9	3	95.20	9
P9	4	107.68	9
P15	1	311.06	9
P15	2	185.39	9
P15	3	107.08	9
P15	4	130.40	9
P16	1	279.93	9
P16	2	215.73	9
P16	3	160.56	9
P16	4	123.03	9
P26	1	217.06	9
P26	2	172.11	9
P26	3	145.58	9
P26	4	176.57	9
P31	1	383.96	9
P31	2	217.78	9
P31	3	164.26	9
P31	4	135.39	9
P42	1	279.93	9
P42	2	283.06	9
P42	3	150.68	9
P42	4	136.25	9
P44	1	243.62	9
P44	2	135.18	9
P44	3	91.81	9
P44	4	65.09	9
P49	1	203.01	9
P49	2	235.64	9
P49	3	137.14	9
P49	4	104.77	9
P57	1	163.74	9
P57	2	102.08	9
P57	3	95.36	9
P57	4	74.72	9
P63	1	171.38	9
P63	2	109.96	9
P63	3	101.08	9
P63	4	82.09	9
P11	1	297.49	9
P11	2	136.23	9
P11	3	107.94	9
P11	4	90.72	9
P27	1	223.11	9
P27	2	95.79	9
P27	3	127.68	9
P27	4	139.03	9
P32	1	165.02	9
P32	2	153.30	9
P32	3	112.03	9
P32	4	94.18	9
P34	1	201.27	9
P34	2	186.12	9
P34	3	221.35	9
P34	4	142.08	9
P40	1	222.54	9
P40	2	122.93	9
P40	3	107.60	9
P40	4	112.94	9
P48	1	206.81	9
P48	2	149.72	9
P48	3	78.29	9
P48	4	84.11	9
P54	1	226.73	9
P54	2	162.09	9
P54	3	145.74	9
P54	4	110.28	9
P66	1	154.35	9
P66	2	127.58	9
P66	3	114.78	9
P66	4	103.18	9
P72	1	165.10	9
P72	2	145.19	9
P72	3	90.29	9
P72	4	88.01	9
P75	1	179.52	9
P75	2	193.14	9
P75	3	111.99	9
P75	4	120.17	9
P12	1	157.68	9
P12	2	127.90	9
P12	3	113.63	9
P12	4	119.31	9
P14	1	291.50	9
P14	2	158.57	9
P14	3	144.46	9
P14	4	138.81	9
P19	1	199.59	9
P19	2	179.49	9
P19	3	174.05	9
P19	4	180.66	9
P20	1	241.64	9
P20	2	190.71	9
P20	3	256.28	9
P20	4	118.97	9
P23	1	330.33	9
P23	2	108.56	9
P23	3	108.56	9
P23	4	72.72	9
P46	1	137.69	9
P46	2	125.97	9
P46	3	84.29	9
P46	4	67.70	9
P51	1	205.99	9
P51	2	105.51	9
P51	3	71.20	9
P51	4	56.57	9
P59	1	171.51	9
P59	2	186.51	9
P59	3	89.20	9
P59	4	121.90	9
P68	1	161.42	9
P68	2	160.22	9
P68	3	110.17	9
P68	4	89.48	9
P73	1	167.86	9
P73	2	168.97	9
P73	3	119.82	9
P73	4	232.55	9
P9	1	28.61	10
P9	2	21.19	10
P9	3	24.08	10
P9	4	30.49	10
P15	1	NA	10
P15	2	18.92	10
P15	3	30.51	10
P15	4	10.22	10
P16	1	27.71	10
P16	2	25.66	10
P16	3	16.54	10
P16	4	20.94	10
P26	1	18.33	10
P26	2	20.17	10
P26	3	17.65	10
P26	4	14.74	10
P31	1	34.38	10
P31	2	33.58	10
P31	3	18.75	10
P31	4	21.89	10
P42	1	27.71	10
P42	2	18.19	10
P42	3	34.39	10
P42	4	42.25	10
P44	1	52.97	10
P44	2	17.58	10
P44	3	15.34	10
P44	4	9.74	10
P49	1	35.47	10
P49	2	22.10	10
P49	3	19.49	10
P49	4	20.21	10
P57	1	42.32	10
P57	2	22.69	10
P57	3	9.94	10
P57	4	8.65	10
P63	1	26.95	10
P63	2	20.58	10
P63	3	15.33	10
P63	4	18.00	10
P11	1	20.62	10
P11	2	33.61	10
P11	3	14.66	10
P11	4	11.38	10
P27	1	26.45	10
P27	2	13.46	10
P27	3	15.09	10
P27	4	22.46	10
P32	1	16.38	10
P32	2	NA	10
P32	3	9.99	10
P32	4	10.50	10
P34	1	46.62	10
P34	2	12.71	10
P34	3	12.46	10
P34	4	11.10	10
P40	1	27.13	10
P40	2	24.00	10
P40	3	16.09	10
P40	4	11.00	10
P48	1	27.23	10
P48	2	24.09	10
P48	3	14.90	10
P48	4	10.00	10
P54	1	41.50	10
P54	2	24.28	10
P54	3	19.99	10
P54	4	24.01	10
P66	1	23.59	10
P66	2	24.92	10
P66	3	27.15	10
P66	4	31.47	10
P72	1	33.74	10
P72	2	21.43	10
P72	3	17.42	10
P72	4	14.78	10
P75	1	35.36	10
P75	2	22.00	10
P75	3	31.79	10
P75	4	18.87	10
P12	1	NA	10
P12	2	40.76	10
P12	3	12.36	10
P12	4	12.02	10
P14	1	36.51	10
P14	2	16.91	10
P14	3	17.08	10
P14	4	24.51	10
P19	1	26.46	10
P19	2	20.98	10
P19	3	23.82	10
P19	4	17.28	10
P20	1	44.13	10
P20	2	52.97	10
P20	3	25.51	10
P20	4	18.07	10
P23	1	22.78	10
P23	2	18.42	10
P23	3	18.42	10
P23	4	11.26	10
P46	1	16.23	10
P46	2	15.02	10
P46	3	13.76	10
P46	4	14.56	10
P51	1	30.84	10
P51	2	NA	10
P51	3	12.24	10
P51	4	7.50	10
P59	1	18.38	10
P59	2	14.99	10
P59	3	12.38	10
P59	4	39.51	10
P68	1	23.29	10
P68	2	14.62	10
P68	3	25.21	10
P68	4	18.48	10
P73	1	24.83	10
P73	2	28.26	10
P73	3	19.33	10
P73	4	13.55	10
P9	1	57.08	11
P9	2	21.98	11
P9	3	67.06	11
P9	4	13.06	11
P15	1	97.11	11
P15	2	27.30	11
P15	3	44.82	11
P15	4	12.62	11
P16	1	45.08	11
P16	2	38.06	11
P16	3	33.05	11
P16	4	35.11	11
P26	1	89.34	11
P26	2	18.94	11
P26	3	22.14	11
P26	4	14.66	11
P31	1	138.57	11
P31	2	114.14	11
P31	3	46.24	11
P31	4	19.81	11
P42	1	45.08	11
P42	2	74.71	11
P42	3	31.70	11
P42	4	19.85	11
P44	1	38.14	11
P44	2	41.33	11
P44	3	30.34	11
P44	4	12.75	11
P49	1	113.74	11
P49	2	45.95	11
P49	3	40.14	11
P49	4	37.97	11
P57	1	50.39	11
P57	2	18.72	11
P57	3	24.88	11
P57	4	19.23	11
P63	1	176.84	11
P63	2	31.07	11
P63	3	29.08	11
P63	4	27.90	11
P11	1	125.65	11
P11	2	45.75	11
P11	3	43.81	11
P11	4	23.11	11
P27	1	74.97	11
P27	2	53.31	11
P27	3	40.77	11
P27	4	22.64	11
P32	1	59.30	11
P32	2	28.38	11
P32	3	51.98	11
P32	4	17.60	11
P34	1	59.28	11
P34	2	38.11	11
P34	3	19.33	11
P34	4	13.28	11
P40	1	72.96	11
P40	2	56.25	11
P40	3	63.83	11
P40	4	21.31	11
P48	1	210.04	11
P48	2	28.23	11
P48	3	36.34	11
P48	4	21.52	11
P54	1	78.81	11
P54	2	42.53	11
P54	3	34.73	11
P54	4	22.81	11
P66	1	38.70	11
P66	2	32.95	11
P66	3	40.50	11
P66	4	30.03	11
P72	1	35.03	11
